 ,Dry Eyes, Allergic Conjunctivitis, Pink Eye, Eye Strain, Stye
Symptoms Localization, 6, 6, 6, 6, 6
Symptoms Intensity, 7, 7, 7, 7, 7
Duration of Symptoms, 8, 8, 8, 8, 8
Medication History, 9, 9, 9, 9, 9
Allergies, 10, 10, 10, 10, 10
Underlying Medical Conditions, 11, 11, 11, 11, 11
Current Medications, 12, 12, 12, 12, 12
Surgical History, 13, 13, 13, 13, 13
Pregnancy and Breastfeeding, 14, 14, 14, 14, 14
Age, 15, 15, 15, 15, 15
Sleep, 16, 16, 16, 16, 16
Diet, 17, 17, 17, 17, 17
Exercise, 18, 18, 18, 18, 18
Teeth, 19, 19, 19, 19, 19
