Question,Chronic Dehydration,Hematuria,Hemolysis,Hepatitis,Liver Disease,Rhabdomyolysis,Porphyria,Medication Side Effects,Biliary Obstruction,Metabolic Disorders
Symptoms Intensity,13,13,13,13,13,13,13,13,13,13
Duration of Symptoms,14,14,14,14,14,14,14,14,14,14
Medication History,15,15,15,15,15,15,15,15,15,15
Allergies,16,16,16,16,16,16,16,16,16,16
Underlying Medical Conditions,17,17,17,17,17,17,17,17,17,17
Current Medications,18,18,18,18,18,18,18,18,18,18
Surgical History,19,19,19,19,19,19,19,19,19,19
Pregnancy and Breastfeeding,20,20,20,20,20,20,20,20,20,20
Age,21,21,21,21,21,21,21,21,21,21
Sleep,22,22,22,22,22,22,22,22,22,22
Diet,23,23,23,23,23,23,23,23,23,23
Exercise,24,24,24,24,24,24,24,24,24,24
Teeth,25,25,25,25,25,25,25,25,25,25
